AA;AA;AA;AA;AA;AA;0;AA
Notre-Dame (Spanish Version);8401024803;Ken Follett;Architecture;"Plaza & Janes Editores, S.A.";"«La imagen de Notre-Dame en llamas me dejó aturdido y profundamente afectado. Me encontraba al borde de las lágrimas. Algo de un valor incalculable estaba muriendo ante nuestros ojos. Era una sensación desconcertante, como si la tierra hubiera comenzado a temblar.»- Ken Follett En este breve pero fascinante libro, Ken Follett describe las emociones que sintió cuando conoció la tragedia que amenazaba con destruir Notre-Dame de París y recorre, desde los días de su construcción, los momentos históricos determinantes de un edificio que a través de los siglos ha ejercido una fascinación universal. Follett rinde homenaje así a Notre-Dame y revela además la influencia que ha tenido en las catedrales de todo el mundo y en la escritura de su más famosa novela, Los pilares de la Tierra. ENGLISH DESCRIPTION "The wonderful cathedral of Notre-Dame de Paris, one of the greatest achievements of European civilization, was on fire. The sight dazed and disturbed us profoundly. I was on the edge of tears. Something priceless was dying in front of our eyes. The feeling was bewildering, as if the earth was shaking." --Ken Follett In this short, spellbinding book, international bestselling author Ken Follett describes the emotions that gripped him when he learned about the fire that threatened to destroy one of the greatest cathedrals in the world--the Notre-Dame de Paris. Follett then tells the story of the cathedral, from its construction to the role it has played across time and history, and he reveals the influence that the Notre-Dame had upon cathedrals around the world and on the writing of one of Follett's most famous and beloved novels, The Pillars of the Earth.";82;http://books.google.com/books/content?id=idvQyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api library.service.ts:55:18
Aplicaciones distribuidas en Java con tecnología RMI;9788496477957;Fatos Xhafa;Education;"Delta Publicaciones";;454;http://books.google.com/books/content?id=8bZ5gd9zPYkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Trilogía The Century de Ken Follet (Guía de lectura);9782806281333;ResumenExpress.com,;Education;"ResumenExpress.com";"ResumenExpress.com presenta y analiza en esta guía de lectura The Century, trilogía del exitoso autor galés Ken Follett. Durante toda la saga recorremos los acontecimientos más importantes del siglo pasado de la mano de cinco familias de diferentes rincones del mundo, a las que vemos evolucionar a lo largo de un turbulento siglo XX, marcado por las guerras y los conflictos internacionales. ¡Ya no tienes que leer y resumir todo el libro, nosotros lo hemos hecho por ti! Esta guía incluye: • Un resumen completo del libro • Un estudio de los personajes • Las claves de lectura • Pistas para la reflexión ¿Por qué elegir ResumenExpress.com? Para aprender de forma rápida. Porque nuestras publicaciones están escritas con un estilo claro y conciso que te ayudará a ganar tiempo y a entender las obras sin esfuerzo. Disponibles en formato impreso y digital, te acompañarán en tu aventura literaria. Toma una dosis de literatura acelerada con ResumenExpress.com";40;http://books.google.com/books/content?id=wMIdDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api library.service.ts:55:18
El universo de Ken Follett;9788401343308;Ken Follett;Literary Criticism;"PLAZA & JANES";"eBook gratuito con material inédito sobre la trilogía de Ken Follet «The Century» Este eBook contiene material extra sobre la aclamada trilogía de Ken Follett «The Century»: entrevistas y conversaciones con el autor, vídeos y material inédito sobre las familias protagonistas, etc. La trilogía «The Century» está compuesta por La caída de los gigantes, El invierno del mundo y El umbral de la eternidad, y sigue los destinos entrelazados de tres generaciones de cinco familias: una galesa, una inglesa, una rusa, una alemana y otra estadounidense, de modo que permite contemplar, en primera persona, una de las épocas posiblemente más convulsas, violentas y determinantes de la historia. Una combinación épica de drama humano, sello distintivo en las obras de Ken Follett.";16;http://books.google.com/books/content?id=SP-cAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api library.service.ts:55:18
Ken Follett;0313294151;Ken Follett;Literary Criticism;"Greenwood Publishing Group";"The first comprehensive study of the novels of Ken Follett, master of the spy thriller.";180;http://books.google.com/books/content?id=Q20bvbkahBEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
English arts and crafts programming primary first course;9781326470814;Cristina Vargas Castro;Programming;"Lulu.com";;0;http://books.google.com/books/content?id=eIg_DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Programming with Specifications;9781461396857;David Luckham;Programming;"Springer Science & Business Media";"Topics • what this book is about, • its intended audience, • what the reader ought to know, • how the book is organized, • acknowledgements. Specifications express information about a program that is not normally part of the program, and often cannot be expressed in a programming lan guage. In the past, the word "specification" has sometimes been used to refer to somewhat vague documentation written in English. But today it indicates a precise statement, written in a machine processable language, about the purpose and behavior of a program. Specifications are written in languages that are just as precise as programming languages, but have additional capabilities that increase their power of expression. The termi nology formal specification is sometimes used to emphasize the modern meaning. For us, all specifications are formal. The use of specifications as an integral part of a program opens up a whole new area of programming - progmmming with specifications. This book describes how to use specifications in the process of building programs, debugging them, and interfacing them with other programs. It deals with a new trend in programming - the evolution of specification languages from the current generation of programming languages. And it describes new strategies and styles of programming that utilize specifications. The trend is just beginning, and the reader, having finished this book, will viii Preface certainly see that there is much yet to be done and to be discovered about programming with specifications.";416;http://books.google.com/books/content?id=KQzaBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Handbook of Constraint Programming;0080463800;Francesca Rossi;Programming;"Elsevier";"Constraint programming is a powerful paradigm for solving combinatorial search problems that draws on a wide range of techniques from artificial intelligence, computer science, databases, programming languages, and operations research. Constraint programming is currently applied with success to many domains, such as scheduling, planning, vehicle routing, configuration, networks, and bioinformatics. The aim of this handbook is to capture the full breadth and depth of the constraint programming field and to be encyclopedic in its scope and coverage. While there are several excellent books on constraint programming, such books necessarily focus on the main notions and techniques and cannot cover also extensions, applications, and languages. The handbook gives a reasonably complete coverage of all these lines of work, based on constraint programming, so that a reader can have a rather precise idea of the whole field and its potential. Of course each line of work is dealt with in a survey-like style, where some details may be neglected in favor of coverage. However, the extensive bibliography of each chapter will help the interested readers to find suitable sources for the missing details. Each chapter of the handbook is intended to be a self-contained survey of a topic, and is written by one or more authors who are leading researchers in the area. The intended audience of the handbook is researchers, graduate students, higher-year undergraduates and practitioners who wish to learn about the state-of-the-art in constraint programming. No prior knowledge about the field is necessary to be able to read the chapters and gather useful knowledge. Researchers from other fields should find in this handbook an effective way to learn about constraint programming and to possibly use some of the constraint programming concepts and techniques in their work, thus providing a means for a fruitful cross-fertilization among different research areas. The handbook is organized in two parts. The first part covers the basic foundations of constraint programming, including the history, the notion of constraint propagation, basic search methods, global constraints, tractability and computational complexity, and important issues in modeling a problem as a constraint problem. The second part covers constraint languages and solver, several useful extensions to the basic framework (such as interval constraints, structured domains, and distributed CSPs), and successful application areas for constraint programming. - Covers the whole field of constraint programming - Survey-style chapters - Five chapters on applications";978;http://books.google.com/books/content?id=Kjap9ZWcKOoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Fractional Programming;9789400900356;I.M. Stancu-Minasian;Programming;"Springer Science & Business Media";"Mathematical programming has know a spectacular diversification in the last few decades. This process has happened both at the level of mathematical research and at the level of the applications generated by the solution methods that were created. To write a monograph dedicated to a certain domain of mathematical programming is, under such circumstances,especially difficult. In the present monograph we opt for the domain of fractional programming. Interest of this subject was generated by the fact that various optimization problems from engineering and economics consider the minimization of a ratio between physical and/or economical functions, for example cost/time, cost/volume,cost/profit, or other quantities that measure the efficiency of a system. For example, the productivity of industrial systems, defined as the ratio between the realized services in a system within a given period of time and the utilized resources, is used as one of the best indicators of the quality of their operation. Such problems, where the objective function appears as a ratio of functions, constitute fractional programming problem. Due to its importance in modeling various decision processes in management science, operational research, and economics, and also due to its frequent appearance in other problems that are not necessarily economical, such as information theory, numerical analysis, stochastic programming, decomposition algorithms for large linear systems, etc., the fractional programming method has received particular attention in the last three decades.";432;http://books.google.com/books/content?id=7PPnCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Perl Programming for Medicine and Biology;076374333X;Jules J. Berman;Programming;"Jones & Bartlett Learning";"Written for biomedical professionals and hospital practitioners interested in creating their own programs, Perl Programming for Medicine and Biology, discusses and reviews biomedical data resources, data standards, data organization, medicolegal and ethical conduct for data miners, and grants-related data sharing responsibilities. It teaches readers the basic Perl programming skills necessary for collecting, analyzing, and distributing biomedical data and provides solutions to in-depth problems that face researchers and healthcare professionals. Non-technical "Background" sections open each chapter to help non-programmers easily comprehend programming procedures. Explanations are provided for the biomedical issues underlying the Perl scripts that follow, and examples of real-world implementation are provided. Perl Programming for Medicine and Biology will show you how to transform, merge, and examine large and complex databases with ease.";407;http://books.google.com/books/content?id=OZhAL0K1k_0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Planning Extreme Programming;0201710919;Kent Beck;Programming;"Addison-Wesley Professional";"A guide to XP leads the developer, project manager, and team leader through the software development planning process, offering real world examples and tips for reacting to changing environments quickly and efficiently.";139;http://books.google.com/books/content?id=u13hVoYVZa8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Foundations of Programming Languages;9783319133140;Kent D. Lee;Programming;"Springer";"This clearly written textbook introduces the reader to the three styles of programming, examining object-oriented/imperative, functional, and logic programming. The focus of the text moves from highly prescriptive languages to very descriptive languages, demonstrating the many and varied ways in which we can think about programming. Designed for interactive learning both inside and outside of the classroom, each programming paradigm is highlighted through the implementation of a non-trivial programming language, demonstrating when each language may be appropriate for a given problem. Features: includes review questions and solved practice exercises, with supplementary code and support files available from an associated website, provides the foundations for understanding how the syntax of a language is formally defined by a grammar, examines assembly language programming using CoCo, introduces C++, Standard ML, and Prolog, describes the development of a type inference system for the language Small.";354;http://books.google.com/books/content?id=dERFBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
PHP Reactive Programming;9781786461575;Martin Sikora;Programming;"Packt Publishing Ltd";"Leverage the power of Reactive Programming in PHP About This Book Develop an interesting multiplayer browser game written in RxJS and re-implement it using RxPHP Enhance existing reactive applications by building a CLI tool combining Symfony Console Implement Gearman and Rabbit MQ for asynchronous communication Who This Book Is For This book is aimed at people with a solid knowledge of PHP and programming languages in general. We also assume they have at least a little experience with other technologies such as JavaScript, Node.js, and others. What You Will Learn How to work with the RxPHP library and see what it offers via many examples Use the RxPHP library in combination with Symfony Console The different approaches to using Symfony3's Event Dispatcher component Test your reactive PHP code using PHPUnit Analyze PHP source code and apply a custom set of rules by building a CLI tool In Detail Reactive Programming helps us write code that is concise, clear, and readable. Combining the power of reactive programming and PHP, one of the most widely used languages, will enable you to create web applications more pragmatically. PHP Reactive Programming will teach you the benefits of reactive programming via real-world examples with a hands-on approach. You will create multiple projects showing RxPHP in action alone and in combination with other libraries. The book starts with a brief introduction to reactive programming, clearly explaining the importance of building reactive applications. You will use the RxPHP library, built a reddit CLI using it, and also re-implement the Symfony3 Event Dispatcher with RxPHP. You will learn how to test your RxPHP code by writing unit tests. Moving on to more interesting aspects, you will implement a web socket backend by developing a browser game. You will learn to implement quite complex reactive systems while avoiding pitfalls such as circular dependencies by moving the RxJS logic from the frontend to the backend. The book will then focus on writing extendable RxPHP code by developing a code testing tool and also cover Using RxPHP on both the server and client side of the application. With a concluding chapter on reactive programming practices in other languages, this book will serve as a complete guide for you to start writing reactive applications in PHP. Style and approach This book will teach readers how to build reactive applications in a step-by-step manner. It will also present several examples of reactive applications implemented with different frameworks.";364;http://books.google.com/books/content?id=cLkrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Programacion neurolinguistica PNL / Neuro-linguistic programming (NLP);8497351991;Steve Bavister;Programming;"Editorial AMAT";;150;http://books.google.com/books/content?id=E01HozY9XSMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Practical C++ Programming;9780596004194;Steve Oualline;Programming;"O'Reilly Media, Inc.";"Teaches the programming language, covering topics including syntax, coding standards, object classes, templates, debugging, and the C++ preprocessor.";549;http://books.google.com/books/content?id=pXDzdJ_1E3oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Mary Parker Follett Prophet of Management;1587982137;Pauline Graham;Business & Economics;"Beard Books";"This is a reprint of a previously published work. She was the predecessor of modern theorists on management. Almost everything written today about leadershipand organizations comes from Mary Parker Follett's writings.";309;http://books.google.com/books/content?id=tZ4Z29T1GgIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api library.service.ts:55:18
Como programar en C/C++y Java;9702605318;Harvey M. Deitel;C (Computer program language);"Pearson Educación";"Esta cuarta edición del libro de C más utilizado a nivel mundial, explica de manera clara y sencilla el lenguaje C, y presenta temas importantes de C++ y Java. En esta nueva edición de Cómo programar en C/C++ y Java, los Deitel explican cinco de los modelos más populares de la programación: por procedimientos, basada en objetos, orientada a objetos, genérica y controlada por eventos. Entre los temas clave que trata este libro se encuentran: instrucciones y funciones de control en C, arreglos, apuntadores y estructuras de datos ligadas en C, procesamiento de caracteres y cadenas en C, estructuras, uniones y manipulación de bits en C, entrada/salida con formato y archivos en C, enumeraciones en C y el preprocesador, programación por procedimientos (en C), clases y objetos (en C++ y Java), herencia y polimorfismo (en C++ y Java), programación genérica (plantillas de C++), gráficos, GUI y multimedia (en Java),programación controlada por eventos (en Java).";1113;http://books.google.com/books/content?id=sWjcMGUAnXwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Nunca;9788401027963;Ken Follett;Fiction;"PLAZA & JANÉS";"Ken Follett regresa al thriller con una vertiginosa novela que imagina lo inimaginable. En el desierto del Sáhara, dos agentes de inteligencia siguen la pista a un poderoso grupo terrorista arriesgando sus vidas -y, cuando se enamoran perdidamente, sus carreras- a cada paso. En China, un alto cargo del gobierno con grandes ambiciones batalla contra los viejos halcones del ala dura del Partido que amenazan con empujar al país a un punto de no retorno. Y en Estados Unidos, la presidenta se enfrenta a una crisis global y al asedio de sus implacables oponentes políticos. Está dispuesta a todo para evitar una guerra innecesaria. Pero cuando un acto de agresión conduce a otro y las potencias más poderosas del mundo se ven atrapadas en una compleja red de alianzas de la que no pueden escapar, comienza una frenética carrera contrarreloj. ¿Podrá alguien, incluso con las mejores intenciones y las más excepcionales habilidades, detener lo inevitable? Nunca es un thriller extraordinario, lleno de heroínas y villanos, falsos profetas, agentes de élite, políticos desencantados y cínicos revolucionarios. Follett envía un mensaje de advertencia para nuestros tiempos en una historia intensa y trepidante que transporta a los lectores hasta el filo del abismo. «Cuando me documentaba para La caída de los gigantes, me impactó darme cuenta de que la Primera Guerra Mundial fue una guerra que nadie quería. Ningún líder europeo de ninguno de los dos bandos tenía intención de que sucediera. Pero, uno por uno, los emperadores y primeros ministros tomaron decisiones -decisiones lógicas y moderadas- que nos acercaron un pasito más al conflicto más terrible que el mundo ha conocido. Llegué a creer que todo fue un trágico accidente. Y me pregunté: ¿podría volver a ocurrir?» KEN FOLLETT La crítica ha dicho: «Nunca es el mejor libro de Ken Follett. Es aterrador. Desafío a cualquiera a abandonarlo tras haber leído las primeras 150 páginas». Stephen King «Un thriller brutal. Puro Ken Follett». Jacinto Antón, El País «No pueden perderse Nunca. Lo van a pasar terriblemente bien». Pepa Fernández, RNE «Una de las mejores novelas de espías que he leído en bastante tiempo». Sergio Vila-Sanjuán, La Vanguardia «Follett tiene una de las imaginaciones más brillantes y desbordantes de la literatura contemporánea». Javier del Pino, Cadena SER «Un adictivo thriller político que ya se perfila como otro best seller mundial». El Mundo «Urgente y ferozmente apasionante». The Washington Post «Un thriller deslumbrante y una de las lecturas más emocionantes del año». Daily Express «Audaz en su escala y meticulosamente documentado, Nunca hace que el resto de libros de espionaje internacional parezcan apocados, perezosos y provincianos». The Sunday Times «Prepárense para una experiencia electrizante». CNN.com «Absolutamente fascinante... Un thriller inteligente, aterrador y muy plausible». Booklist «Fantástico... Una imponente y poderosa demostración de uno de los mejores escritores del género». Publishers Weekly «Las tramas de la historia te absorberán de tal manera que las seguirás a cualquier parte... y de pronto te darás cuenta de que has leído cientos de páginas. Por un lado es un entretenimiento fantástico, por otro, una ventana a una posibilidad que dará que pensar». Kirkus «Imprescindible. Una lectura que te sorprenderá hasta la última de sus páginas y que no vas a poder soltar en ningún momento». Telva Sobre el autor han dicho: «Follett es un maestro». The Washington Post «Sigo envidiando como el primer día la capacidad de Follett para entretener. Sus tramas funcionan siempre y te mantiene pegado a cada página». Juan Gómez Jurado, ABC";848;http://books.google.com/books/content?id=eR85EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api library.service.ts:55:18
Los pilares de la Tierra de Ken Follett (Guía de lectura);9782806272096;ResumenExpress.com,;Fiction;"ResumenExpress.com";"Esta guía de lectura ofrece un análisis detallado de Los pilares de la Tierra de Ken Follett. ¡Ya hemos realizado todo el trabajo de lectura y síntesis por ti! Esta guía incluye: • Un resumen completo • Un estudio de los personajes • Un análisis de los temas • Las claves de lectura y pistas de reflexión ¿Por qué elegir ResumenExpress.com? Nuestras publicaciones están diseñadas para acompañarte en tu lectura y están escritas con un estilo muy claro y conciso. Todas las guía son fáciles de entender y es la oportunidad perfecta para aumentar tus conocimientos literarios en cuestión de minutos. Descubre rápidamente la literatura con ResumenExpress.com";40;http://books.google.com/books/content?id=OkcmCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api library.service.ts:55:18
